route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
10,NMBS/SNCB,BUS,Bruges -- Ostende,,700,,,
100,NMBS/SNCB,IC,Ostende -- Lichtervelde,,103,,,
101,NMBS/SNCB,IC,Bruges -- Lichtervelde,,103,,,
102,NMBS/SNCB,L,Vilvorde -- Bruxelles-Midi,,100,,,
103,NMBS/SNCB,L,Anvers-Central -- Kontich-Lint,,100,,,
104,NMBS/SNCB,IC,La Louviere-Sud -- Binche,,103,,,
105,NMBS/SNCB,IC,Binche -- Braine-Le-Comte,,103,,,
106,NMBS/SNCB,IC,La Louviere-Sud -- Braine-Le-Comte,,103,,,
107,NMBS/SNCB,IC,Hasselt -- Genk,,103,,,
108,NMBS/SNCB,IC,Bruges -- Ostende,,103,,,
109,NMBS/SNCB,L,Namur -- Tamines,,100,,,
11,NMBS/SNCB,BUS,Libramont -- Bertrix,,700,,,
110,NMBS/SNCB,L,Marloie -- Bomal,,100,,,
111,NMBS/SNCB,L,Rochefort-Jemelle -- Bomal,,100,,,
112,NMBS/SNCB,IC,Lichtervelde -- La Panne,,103,,,
113,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
114,NMBS/SNCB,L,Mons -- Quevy,,100,,,
115,NMBS/SNCB,IC,Menin -- Poperinge,,103,,,
116,NMBS/SNCB,IC,Mons -- Braine-Le-Comte,,103,,,
117,NMBS/SNCB,L,Schaerbeek -- Louvain,,100,,,
118,NMBS/SNCB,L,De Pinte -- Renaix,,100,,,
119,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
12,NMBS/SNCB,BUS,Malines -- Londerzeel,,700,,,
120,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
121,NMBS/SNCB,IC,Mons -- La Louviere-Sud,,103,,,
122,NMBS/SNCB,IC,Charleroi-Sud -- Mons,,103,,,
123,NMBS/SNCB,IC,Tamines -- Tournai,,103,,,
124,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
125,NMBS/SNCB,IC,La Louviere-Sud -- Mouscron,,103,,,
126,NMBS/SNCB,L,Jurbise -- Quevy,,100,,,
127,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
128,NMBS/SNCB,L,Mons -- Jurbise,,100,,,
129,NMBS/SNCB,P,Louvain -- Deinze,,103,,,
13,NMBS/SNCB,BUS,Luttre -- Charleroi-Sud,,700,,,
130,NMBS/SNCB,P,Sint-Joris-Weert -- Gand-Saint-Pierre,,103,,,
131,NMBS/SNCB,IC,Tongres -- Liege-Guillemins,,103,,,
132,NMBS/SNCB,IC,Namur -- Charleroi-Sud,,103,,,
133,NMBS/SNCB,IC,La Louviere-Sud -- Tournai,,103,,,
134,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
135,NMBS/SNCB,L,Arlon -- Athus,,100,,,
136,NMBS/SNCB,S34,Anvers-Central -- Saint-Nicolas,,100,,,
137,NMBS/SNCB,IC,Genk -- Bruges,,103,,,
138,NMBS/SNCB,IC,Landen -- Bruges,,103,,,
139,NMBS/SNCB,IC,Genk -- Blankenberge,,103,,,
14,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Deinze,,700,,,
140,NMBS/SNCB,IC,Landen -- Blankenberge,,103,,,
141,NMBS/SNCB,IC,Hasselt -- Blankenberge,,103,,,
142,NMBS/SNCB,IC,Bruges -- Gand-Saint-Pierre,,103,,,
143,NMBS/SNCB,IC,Bruges -- Blankenberge,,103,,,
144,NMBS/SNCB,IC,Blankenberge -- Gand-Saint-Pierre,,103,,,
145,NMBS/SNCB,IC,Hasselt -- Bruges,,103,,,
146,NMBS/SNCB,S6,Schaerbeek -- Grammont,,100,,,
147,NMBS/SNCB,S6,Schaerbeek -- Alost,,100,,,
148,NMBS/SNCB,S6,Schaerbeek -- Denderleeuw,,100,,,
149,NMBS/SNCB,S6,Enghien -- Alost,,100,,,
15,NMBS/SNCB,BUS,Deinze -- Lichtervelde,,700,,,
150,NMBS/SNCB,S6,Enghien -- Denderleeuw,,100,,,
151,NMBS/SNCB,S6,Grammont -- Denderleeuw,,100,,,
152,NMBS/SNCB,S6,Alost -- Grammont,,100,,,
153,NMBS/SNCB,S6,Enghien -- Grammont,,100,,,
154,NMBS/SNCB,L,Audenarde -- Zottegem,,100,,,
155,NMBS/SNCB,L,Zottegem -- Courtrai,,100,,,
156,NMBS/SNCB,L,Audenarde -- Courtrai,,100,,,
157,NMBS/SNCB,IC,Liege-Guillemins -- Mons,,103,,,
158,NMBS/SNCB,IC,Liege-Guillemins -- Quievrain,,103,,,
159,NMBS/SNCB,L,Liege-Guillemins -- Quievrain,,100,,,
16,NMBS/SNCB,BUS,Louvain -- Landen,,700,,,
160,NMBS/SNCB,IC,Anvers-Central -- Noorderkempen (brecht),,103,,,
161,NMBS/SNCB,L,Grammont -- Idegem,,100,,,
162,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
163,NMBS/SNCB,L,Ninove -- Denderleeuw,,100,,,
164,NMBS/SNCB,L,Schaerbeek -- Grammont,,100,,,
165,NMBS/SNCB,IC,Liege-Guillemins -- Eupen,,103,,,
166,NMBS/SNCB,L,Bruges -- Zeebrugge-Dorp,,100,,,
167,NMBS/SNCB,L,Gand-Saint-Pierre -- Eeklo,,100,,,
168,NMBS/SNCB,IC,Anvers-Central -- Gand-Saint-Pierre,,103,,,
169,NMBS/SNCB,IC,Deinze -- Poperinge,,103,,,
17,NMBS/SNCB,BUS,Namur -- Ciney,,700,,,
170,NMBS/SNCB,IC,Gand-Saint-Pierre -- Courtrai,,103,,,
171,NMBS/SNCB,L,Verviers-Central -- Spa-Geronstere,,100,,,
172,NMBS/SNCB,L,Hasselt -- Liege-Guillemins,,100,,,
173,NMBS/SNCB,L,Arlon -- Virton,,100,,,
174,NMBS/SNCB,IC,Liege-Guillemins -- Saint-Ghislain,,103,,,
175,NMBS/SNCB,S1,Bruxelles-Midi -- Anvers-Central,,100,,,
176,NMBS/SNCB,S1,Nivelles -- Anvers-Central,,100,,,
177,NMBS/SNCB,S1,Braine-L Alleud -- Anvers-Central,,100,,,
178,NMBS/SNCB,P,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
179,NMBS/SNCB,S1,Schaerbeek -- Nivelles,,100,,,
18,NMBS/SNCB,BUS,Rochefort-Jemelle -- Ciney,,700,,,
180,NMBS/SNCB,S1,Bruxelles-Nord -- Nivelles,,100,,,
181,NMBS/SNCB,S1,Vilvorde -- Nivelles,,100,,,
182,NMBS/SNCB,S1,Vilvorde -- Bruxelles-Midi,,100,,,
183,NMBS/SNCB,P,Bruxelles-Midi -- Arlon,,103,,,
184,NMBS/SNCB,IC,Anvers-Central -- Ostende,,103,,,
185,NMBS/SNCB,IC,Ostende -- Saint-Nicolas,,103,,,
186,NMBS/SNCB,S52,Gand-Saint-Pierre -- Grammont,,100,,,
187,NMBS/SNCB,IC,Luxembourg (l) -- Arlon,,103,,,
188,NMBS/SNCB,L,Maastricht (nl) -- Liege-Guillemins,,100,,,
189,NMBS/SNCB,L,Bruxelles-Midi -- Anvers-Central,,100,,,
19,NMBS/SNCB,BUS,Deinze -- La Panne,,700,,,
190,NMBS/SNCB,IC,Bruxelles-Midi -- Brussels Airport - Zaventem,,103,,,
191,NMBS/SNCB,IC,Brussels Airport - Zaventem -- Tournai,,103,,,
192,NMBS/SNCB,IC,Aulnoye Aymeries (f) -- Mons,,103,,,
193,NMBS/SNCB,IC,Bruxelles-Midi -- Tournai,,103,,,
194,NMBS/SNCB,S1,Anvers-Central -- Charleroi-Sud,,100,,,
195,NMBS/SNCB,S1,Bruxelles-Nord -- Braine-L Alleud,,100,,,
196,NMBS/SNCB,S32,Anvers-Central -- Puurs,,100,,,
197,NMBS/SNCB,IC,Lille Flandres(f) -- Courtrai,,103,,,
198,NMBS/SNCB,IC,Mouscron -- Courtrai,,103,,,
199,NMBS/SNCB,IC,Tournai -- Courtrai,,103,,,
2,NMBS/SNCB,BUS,Audenarde -- Zottegem,,700,,,
20,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Audenarde,,700,,,
200,NMBS/SNCB,IC,Maubeuge (f) -- Namur,,103,,,
201,NMBS/SNCB,IC,Lille Flandres(f) -- Tournai,,103,,,
202,NMBS/SNCB,IC,Lille Flandres(f) -- Namur,,103,,,
203,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Noorderdokken,,103,,,
204,NMBS/SNCB,IC,Bruxelles-Midi -- Essen,,103,,,
